lat_stf,lat_saf,lat_pf,lon
-43.76690099451276,-57.06591175462833,-62.04530521533266,-179.9166717529297
-43.76410062728524,-57.0583385205479,-62.04248491716132,-179.8333282470703
-43.76067576915497,-57.05188948310873,-62.03894574742259,-179.75
-43.755751423062044,-57.04647300951485,-62.0341975902628,-179.6666717529297
-43.74994160252694,-57.04292086453244,-62.02822965181272,-179.5833282470703
-43.74368254928151,-57.04057138569141,-62.02147164470094,-179.5
-43.73733647079904,-57.03942145603253,-62.014860057469186,-179.4166717529297
-43.731134290543814,-57.04026352071676,-62.00812970559223,-179.3333282470703
-43.72511187469308,-57.04313323886306,-62.000588424504315,-179.25
-43.71909530099737,-57.04830775952214,-61.99299505003336,-179.1666717529297
-43.712917832436794,-57.05590651497007,-61.983977526600825,-179.0833282470703
-43.70755636357336,-57.065575443087845,-61.975090006781215,-179.0
-43.70519523318692,-57.0765633670531,-61.96631177443884,-178.9166717529297
-43.70458740200735,-57.088692086319014,-61.95701156140214,-178.8333282470703
-43.705519462405476,-57.101036001420745,-61.947044479901614,-178.75
-43.70838048068725,-57.115390513796854,-61.936498720961275,-178.6666717529297
-43.71199463396056,-57.12975170712412,-61.92671423902797,-178.5833282470703
-43.716911304917915,-57.144638850255824,-61.91672614517244,-178.5
-43.72243214357466,-57.16092123175424,-61.906062204059886,-178.4166717529297
-43.72840443383239,-57.17876166134283,-61.89510843695788,-178.3333282470703
-43.73458153167098,-57.19665222638077,-61.88396590502804,-178.25
-43.739552177222315,-57.215727353415566,-61.87204238085098,-178.1666717529297
-43.74390591625603,-57.23536040567637,-61.86078389850664,-178.0833282470703
-43.74715722821586,-57.25491539394204,-61.84951485513589,-178.0
-43.748920394747756,-57.2744516742629,-61.837757343396525,-177.9166717529297
-43.75013708335802,-57.29308217570053,-61.824619193018215,-177.8333282470703
-43.7508044159097,-57.31189502348554,-61.81086858147245,-177.75
-43.75091491508315,-57.32967736271954,-61.797611771142876,-177.6666717529297
-43.75121345327434,-57.34744664016434,-61.78339248124042,-177.5833282470703
-43.7501260134194,-57.36588601263742,-61.76957338242303,-177.5
-43.74808078590945,-57.38254407418466,-61.75557059801866,-177.4166717529297
-43.747040004839555,-57.3979894101935,-61.741623987436704,-177.3333282470703
-43.745077672492464,-57.41267674857346,-61.728252370571965,-177.25
-43.744145164237445,-57.425405650222935,-61.7154619996678,-177.1666717529297
-43.74645541463578,-57.43612469636153,-61.702741447428544,-177.0833282470703
-43.749684809982455,-57.445770981601925,-61.690036731237235,-177.0
-43.75231198257028,-57.45499604755818,-61.678300379613496,-176.9166717529297
-43.75832024610441,-57.464556056456594,-61.666909761092434,-176.8333282470703
-43.767323296637755,-57.473183542088435,-61.65686451541894,-176.75
-43.77543561651172,-57.481855248412536,-61.647526647998326,-176.6666717529297
-43.78867864263962,-57.490025815812366,-61.63860857526251,-176.5833282470703
-43.805349560759474,-57.497013189351115,-61.63006384022862,-176.5
-43.825368257805145,-57.50375731093121,-61.62247643430396,-176.4166717529297
-43.84529565193034,-57.509309469312164,-61.615389978595495,-176.3333282470703
-43.86889568462573,-57.51426408741629,-61.60876982675449,-176.25
-43.893409850324055,-57.51931347408833,-61.60129235762136,-176.1666717529297
-43.91693009181418,-57.52527377771952,-61.593381672628766,-176.0833282470703
-43.941115186285934,-57.53061573584454,-61.58551755281142,-176.0
-43.96773496427653,-57.53581684542291,-61.57633665253034,-175.9166717529297
-43.99273607763663,-57.540642343080435,-61.56678030005627,-175.8333282470703
-44.01699836703204,-57.54605992612384,-61.55683809747982,-175.75
-44.044123465766766,-57.5512286964884,-61.54600728925573,-175.6666717529297
-44.068237203954595,-57.55639894412307,-61.53470567342466,-175.5833282470703
-44.091601447319015,-57.56191544961678,-61.52268004996856,-175.5
-44.11466380591116,-57.56778858486726,-61.5096228302261,-175.4166717529297
-44.13890251794609,-57.57427413779801,-61.495406313783484,-175.3333282470703
-44.162168518500344,-57.58111385519541,-61.480187159509676,-175.25
-44.186293215162955,-57.58792856332485,-61.46549371373715,-175.1666717529297
-44.210381227977685,-57.59458885404798,-61.45040781627466,-175.0833282470703
-44.23538960765489,-57.602070563634236,-61.4351850467258,-175.0
-44.2598193504108,-57.60963725111892,-61.42029509833671,-174.9166717529297
-44.28314660468428,-57.61670008708138,-61.40629481345047,-174.8333282470703
-44.30564693323098,-57.62371225703541,-61.39261739311184,-174.75
-44.3280950257387,-57.63051634098067,-61.37984087861614,-174.6666717529297
-44.34964893691754,-57.637171607522106,-61.368203515358914,-174.5833282470703
-44.36805383773077,-57.64309573971614,-61.35654545310524,-174.5
-44.384716859696404,-57.649774813424976,-61.34503049108716,-174.4166717529297
-44.3998696094089,-57.656988556935886,-61.33414933308091,-174.3333282470703
-44.4132731227185,-57.663857314363774,-61.32402470438148,-174.25
-44.42411151835527,-57.670926050980036,-61.31435614280599,-174.1666717529297
-44.43282830274504,-57.678282590896345,-61.30520660226308,-174.0833282470703
-44.43892045260737,-57.685896306349065,-61.29568622094613,-174.0
-44.44246918198923,-57.69356215951304,-61.286777104263365,-173.9166717529297
-44.44454237882422,-57.701418595700865,-61.2776102833773,-173.8333282470703
-44.44458417429073,-57.709293732331965,-61.2678937199675,-173.75
-44.44282532011601,-57.71687568422348,-61.25710764077605,-173.6666717529297
-44.43968856876279,-57.7247179021196,-61.245576827311645,-173.5833282470703
-44.43696649706132,-57.733272459578465,-61.23420958365923,-173.5
-44.433930305475904,-57.74114061457349,-61.22253060058312,-173.4166717529297
-44.42950346062843,-57.74875135085359,-61.21034767004548,-173.3333282470703
-44.424241768216326,-57.75679409572897,-61.19793437486814,-173.25
-44.41870757498228,-57.764641948948885,-61.18481583464083,-173.1666717529297
-44.41163303333195,-57.77193560593552,-61.17118569772709,-173.0833282470703
-44.40308280592453,-57.77909963780189,-61.15782294174981,-173.0
-44.394564715457754,-57.78616917395717,-61.14400103287301,-172.9166717529297
-44.38464907361927,-57.7932257680035,-61.13067923566019,-172.8333282470703
-44.37290956880679,-57.8005588268687,-61.11751008767089,-172.75
-44.35952410784558,-57.808412626937574,-61.104583521124766,-172.6666717529297
-44.343958093728965,-57.816273044505444,-61.09169054999342,-172.5833282470703
-44.327808041942596,-57.82417690679089,-61.07863990889655,-172.5
-44.309847882807354,-57.83227448112749,-61.06577315856119,-172.4166717529297
